user_id,skill_name,correct,opportunity,hint_count,attempt_count,order_id,original,ms_first_response
14,Circle Graph,0,1,2,1,21617623,1,26271
14,Percent Of,0,1,2,1,21617623,1,26271
14,Circle Graph,1,2,0,1,21617632,1,29123
14,Percent Of,1,2,0,1,21617632,1,29123
14,Circle Graph,0,3,2,1,21617641,1,13779
14,Percent Of,0,3,2,1,21617641,1,13779
14,Circle Graph,0,4,2,1,21617650,1,16901
14,Percent Of,0,4,2,1,21617650,1,16901
14,Circle Graph,0,5,2,1,21617659,1,11079
14,Percent Of,0,5,2,1,21617659,1,11079
14,Circle Graph,0,6,2,1,21617667,1,8244
14,Percent Of,0,6,2,1,21617667,1,8244
14,Circle Graph,0,7,3,1,21617675,1,21884
14,Equivalent Fractions,0,1,3,1,21617675,1,21884
14,Finding Percents,0,1,3,1,21617675,1,21884
14,Circle Graph,0,8,0,0,21617692,1,59891
14,Equivalent Fractions,0,2,0,0,21617692,1,59891
14,Proportion,0,1,0,0,21617692,1,59891
14,Circle Graph,1,9,0,1,21617731,1,64234
14,Equivalent Fractions,1,3,0,1,21617731,1,64234
14,Circle Graph,0,10,0,0,21617749,1,82572
14,Equivalent Fractions,0,4,0,0,21617749,1,82572
14,Proportion,0,2,0,0,21617749,1,82572
14,Circle Graph,1,11,0,1,21617805,1,30678
14,Equivalent Fractions,1,5,0,1,21617805,1,30678
14,Circle Graph,0,12,0,0,21617825,1,27225
14,Equivalent Fractions,0,6,0,0,21617825,1,27225
14,Finding Percents,0,2,0,0,21617825,1,27225
14,Median,0,1,2,1,21617893,1,9236
14,Range,1,1,0,1,21617915,1,11635
14,Range,1,2,0,1,21617924,1,11012
14,Median,0,2,3,1,21617931,1,3426
14,Range,1,3,0,1,21617942,1,11417
14,Median,0,3,2,1,21617953,1,11915
14,Median,0,4,3,1,21617962,1,2212
21825,Table,0,1,0,1,21616385,1,21942
21825,Mean,0,1,0,1,21616385,1,21942
21825,Table,1,2,0,1,21616478,1,88939
21825,Mean,1,2,0,1,21616478,1,88939
21825,Table,1,3,0,1,21616677,1,46960
21825,Mean,1,3,0,1,21616677,1,46960
21825,Table,1,4,0,1,21616919,1,82821
21825,Mean,1,4,0,1,21616919,1,82821
21825,Table,0,5,0,1,21671620,1,86655
21825,Median,0,1,0,1,21671620,1,86655
21825,Table,1,6,0,1,21671720,1,55062
21825,Median,1,2,0,1,21671720,1,55062
21825,Table,0,7,0,0,21671764,1,306200
21825,Median,0,3,0,0,21671764,1,306200
21825,Multiplication and Division Integers,1,1,0,1,23944780,1,5906
21825,Multiplication and Division Integers,1,2,0,1,23944797,1,4015
21825,Multiplication and Division Integers,1,3,0,1,23944811,1,4391
21825,Multiplication and Division Integers,1,4,0,1,23944830,1,3438
21825,Multiplication and Division Integers,1,5,0,1,23944849,1,6844
21825,Multiplication and Division Integers,1,6,0,1,23944907,1,3829
21825,Multiplication and Division Integers,1,7,0,1,23944935,1,4281
21825,Multiplication and Division Integers,1,8,0,1,23944952,1,3906
21825,Multiplication and Division Integers,1,9,0,1,23944969,1,3797
21825,Multiplication and Division Integers,1,10,0,1,23944981,1,2922
53167,Addition and Subtraction Positive Decimals,0,1,0,1,21430594,1,33032
53167,Addition and Subtraction Positive Decimals,0,2,0,1,21432587,1,9938
53167,Addition and Subtraction Positive Decimals,1,3,0,1,21432807,1,25485
53167,Addition and Subtraction Positive Decimals,0,4,0,1,21433037,1,17110
