user_id,skill_name,mastery_prob,n_opportunities,correct_rate
14,Circle Graph,0.6212390861612963,12,0.25
14,Equivalent Fractions,0.9278854980376272,6,0.3333333333333333
14,Finding Percents,0.20623756095994583,2,0.0
14,Median,0.12635234867502845,4,0.0
14,Percent Of,0.33831040869104206,6,0.16666666666666666
14,Proportion,0.27010021971110837,2,0.0
14,Range,0.9661845000871184,3,1.0
21825,Mean,0.9960261519534255,4,0.75
21825,Median,0.5360651531257835,3,0.3333333333333333
21825,Multiplication and Division Integers,0.9999963765532205,10,1.0
21825,Table,0.9972568934764442,7,0.5714285714285714
53167,Absolute Value,0.9342929222209061,6,0.8333333333333334
53167,Addition Whole Numbers,0.9999999948884171,12,1.0
53167,Addition and Subtraction Fractions,0.9999568698805289,10,0.7
53167,Addition and Subtraction Integers,0.9953452038529631,9,0.8888888888888888
53167,Addition and Subtraction Positive Decimals,0.9607015956715605,7,0.5714285714285714
53167,Area Circle,0.9060929749236353,5,0.2
53167,Calculations with Similar Figures,0.9999689258066062,9,0.7777777777777778
53167,Circumference ,0.9985686740627004,6,0.5
53167,Complementary and Supplementary Angles,0.9940633572217887,5,0.6
53167,Congruence,1.0,2,1.0
53167,Conversion of Fraction Decimals Percents,0.9731269509822753,11,0.8181818181818182
53167,D.4.8-understanding-concept-of-probabilities,0.9752197639020433,1,1.0
53167,Divisibility Rules,0.9966129515636258,11,0.6363636363636364
53167,Division Fractions,0.9847143889740118,4,0.75
53167,Equation Solving More Than Two Steps,0.9972809480894316,10,0.8
53167,Equation Solving Two or Fewer Steps,0.8568323922136131,10,0.5
53167,Estimation,0.292421467296832,3,0.0
53167,Exponents,0.9933037237706417,2,1.0
53167,Finding Percents,0.4046676707020954,1,0.0
53167,Fraction Of,0.971586696857638,1,1.0
53167,Least Common Multiple,0.999934992050629,8,0.75
53167,Mean,0.7025342298704527,1,0.0
53167,Median,0.44422615172007496,5,0.6
53167,Mode,0.9999879736545633,4,1.0
53167,Multiplication Fractions,0.6502009806749919,1,1.0
53167,Multiplication Whole Numbers,0.9999992957969687,3,0.6666666666666666
53167,Multiplication and Division Integers,0.9999944972450204,12,0.9166666666666666
53167,Multiplication and Division Positive Decimals,0.885822632207544,4,0.75
53167,Nets of 3D Figures,1.0,2,1.0
53167,"Order of Operations +,-,/,* () positive reals",0.991890310002107,5,0.6
53167,Order of Operations All,0.9675754795556382,7,0.42857142857142855
53167,Ordering Fractions,0.9943920887825868,8,1.0
53167,Ordering Integers,0.7534036487977146,11,0.6363636363636364
53167,Ordering Positive Decimals,0.9924962431979079,6,1.0
53167,Ordering Real Numbers,0.4036725740731556,7,0.42857142857142855
53167,Pattern Finding ,0.6026263812315007,1,0.0
53167,Percent Of,0.997779505254669,6,0.6666666666666666
53167,Prime Number,0.6335921884281871,1,1.0
53167,Probability of a Single Event,0.9976452015563984,3,1.0
53167,Proportion,0.49314481479558375,8,0.625
53167,Pythagorean Theorem,0.6610224515002224,1,1.0
53167,Range,0.9921084920993354,6,0.8333333333333334
53167,Rounding,0.9757291322031539,2,1.0
53167,Scatter Plot,0.9900521755599333,5,0.6
53167,Scientific Notation,0.9410961278162835,5,0.8
53167,Solving for a variable,0.6349604312185454,1,1.0
53167,Square Root,0.9471143830483779,16,0.5625
53167,Subtraction Whole Numbers,0.4701145455464233,2,0.5
53167,Surface Area Rectangular Prism,0.986138873677517,4,0.75
53167,Table,0.9999999828845377,16,0.8125
53167,Unit Conversion Within a System,0.9948768657469429,6,0.5
53167,Unit Rate,0.6846954506534627,1,0.0
54318,Equation Solving More Than Two Steps,0.9580190133477351,11,0.6363636363636364
58161,Equation Solving More Than Two Steps,0.7214807232064069,10,0.4
64525,Absolute Value,0.9487216729230361,4,1.0
64525,Addition Whole Numbers,0.9999999999925063,16,1.0
64525,Addition and Subtraction Fractions,0.9999998908824635,8,1.0
64525,Addition and Subtraction Integers,0.999311263824777,9,1.0
64525,Addition and Subtraction Positive Decimals,0.999999129072853,13,0.7692307692307693
64525,Area Circle,0.9935199484570086,2,1.0
64525,Area Irregular Figure,0.8162747653179293,1,1.0
64525,Area Rectangle,0.9449414691147011,1,1.0
64525,Area Trapezoid,0.6567048405019229,1,1.0
64525,Box and Whisker,0.8779589241068225,2,1.0
64525,Calculations with Similar Figures,0.9999999998816285,20,0.75
64525,Circle Graph,0.9999998195219094,13,0.8461538461538461
64525,Circumference ,0.9987978850776521,3,1.0
64525,Complementary and Supplementary Angles,0.8639993672475719,1,1.0
64525,Congruence,1.0,3,1.0
64525,Conversion of Fraction Decimals Percents,0.9994433652100272,17,0.8823529411764706
64525,Counting Methods,0.969536606823002,10,0.8
64525,D.4.8-understanding-concept-of-probabilities,0.9999953208065491,2,1.0
64525,Divisibility Rules,0.9999999999819889,32,0.75
64525,Division Fractions,0.9513241750657547,2,1.0
64525,Effect of Changing Dimensions of a Shape Prportionally,0.9992100173508098,6,0.5
64525,Equation Solving More Than Two Steps,0.7452971459149754,5,0.6
64525,Equation Solving Two or Fewer Steps,0.999986621147309,16,0.875
64525,Equivalent Fractions,0.9999526062695433,8,0.75
64525,Estimation,0.9993436617732683,17,0.8235294117647058
64525,Exponents,0.9999648464871114,4,1.0
64525,Finding Percents,0.9999947419067358,22,0.5909090909090909
